city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Blantyre,-15.7861,35.0058,Malawi,MW,Blantyre,admin,1895973,1895973
Lilongwe,-13.9833,33.7833,Malawi,MW,Lilongwe,primary,989318,989318
Mzuzu,-11.4581,34.0151,Malawi,MW,Mzimba,,150100,150100
Zomba,-15.3869,35.3192,Malawi,MW,Zomba,admin,101140,101140
Karonga,-9.9333,33.9333,Malawi,MW,Karonga,admin,61609,61609
Kasungu,-13.0333,33.4833,Malawi,MW,Kasungu,admin,58653,58653
Mangochi,-14.4667,35.2667,Malawi,MW,Mangochi,admin,51429,51429
Salima,-13.7833,34.4333,Malawi,MW,Salima,admin,36789,36789
Liwonde,-15.0667,35.2333,Malawi,MW,Balaka,,36421,36421
Dedza,-14.3667,34.3333,Malawi,MW,Dedza,admin,30928,30928
Nkhotakota,-12.9167,34.3000,Malawi,MW,Nkhotakota,admin,28350,28350
Mchinji,-13.8167,32.9000,Malawi,MW,Mchinji,admin,28011,28011
Nsanje,-16.9167,35.2667,Malawi,MW,Nsanje,admin,26844,26844
Mzimba,-11.9000,33.6000,Malawi,MW,Mzimba,admin,26096,26096
Rumphi,-11.0167,33.8667,Malawi,MW,Rumphi,admin,22358,22358
Ntcheu,-14.8333,34.6667,Malawi,MW,Ntcheu,admin,21241,21241
Mulanje,-16.0258,35.5081,Malawi,MW,Mulanje,admin,20870,20870
Mwanza,-15.5986,34.5178,Malawi,MW,Mwanza,admin,18039,18039
Chitipa,-9.7019,33.2700,Malawi,MW,Chitipa,admin,17743,17743
Nkhata Bay,-11.6000,34.3000,Malawi,MW,Nkhata Bay,admin,14274,14274
Ntchisi,-13.3667,34.0000,Malawi,MW,Ntchisi,admin,9357,9357
Dowa,-13.6667,33.9167,Malawi,MW,Dowa,admin,7135,7135
Thyolo,-16.0667,35.1333,Malawi,MW,Thyolo,admin,7029,7029
Phalombe,-15.8033,35.6533,Malawi,MW,Phalombe,admin,6242,6242
Chiradzulu,-15.7000,35.1833,Malawi,MW,Chiradzulu,admin,1580,1580
Machinga,-14.9667,35.5167,Malawi,MW,Machinga,admin,1418,1418
Balaka,-14.9889,34.9591,Malawi,MW,Balaka,admin,,
Neno,-15.3981,34.6534,Malawi,MW,Neno,admin,,
Chikwawa,-16.0350,34.8010,Malawi,MW,Chikwawa,admin,,
